author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ФСК;developer;https://kaluga.cian.ru/sale/flat/281954586/;Калуга;sale;flat;12;14;2;59.1;5238742;Октябрьский; Дружбы;6к2;;Дружба
ID 77913926;homeowner;https://kaluga.cian.ru/sale/flat/300155497/;Калуга;sale;flat;9;9;1;39.0;5790000;Ленинский;проезд 3-й Академический;6;;по ул. 3-й Академический проезд
Калужская Земельная Корпорация;developer;https://kaluga.cian.ru/sale/flat/297320673/;Калуга;sale;flat;2;3;2;59.43;4650000;Московский; Изумрудная;6;;Изумрудная долина
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/299296234/;Калуга;sale;flat;4;5;2;55.3;6390000;мкр. Европейский; Полесская;45;;
ФСК;developer;https://kaluga.cian.ru/sale/flat/294799067/;Калуга;sale;flat;10;14;1;50.2;4534767;Октябрьский; Дружбы;6к2;;Дружба
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/299730829/;Калуга;sale;flat;10;10;2;65.8;8700000;Московский; Поле Свободы;105;;
Этажи;representative_developer;https://kaluga.cian.ru/sale/flat/294022697/;Калуга;sale;flat;7;18;1;47.01;5641200;мкр. Правобережье;проезд 3-й Академический;;;Omega
ID 113605857;homeowner;https://kaluga.cian.ru/sale/flat/300214627/;Калуга;sale;flat;6;7;2;65.7;6950000;мкр. Силикатный; Гурьянова;18к2;;
Этажи;representative_developer;https://kaluga.cian.ru/sale/flat/299557181/;Калуга;sale;flat;8;9;2;65.65;6131800;Ленинский;проезд 3-й Академический;10;;по ул. 3-й Академический проезд
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/299978618/;Калуга;sale;flat;5;5;1;31.8;2990000;Октябрьский; Суворова;153к2;;
Этажи;representative_developer;https://kaluga.cian.ru/sale/flat/299557040/;Калуга;sale;flat;5;9;2;65.17;5995640;Ленинский;проезд 3-й Академический;10;;по ул. 3-й Академический проезд
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/300375151/;Калуга;sale;flat;16;22;2;59.4;6100000;мкр. Правград; 65 лет Победы;41;;
Комета 21;developer;https://kaluga.cian.ru/sale/flat/297233419/;Калуга;sale;flat;17;17;2;61.3;6436500;мкр. Правобережье; Серафима Туликова;4;;Орбита
Панорама;real_estate_agent;https://kaluga.cian.ru/sale/flat/297704865/;Калуга;sale;flat;13;22;2;60.4;6300000;мкр. Правград; 65 лет Победы;41;;
Строймонтаж-С;developer;https://kaluga.cian.ru/sale/flat/299469224/;Калуга;sale;flat;9;10;2;52.87;4546820;Октябрьский;проезд Юрия Круглова;8;;Дубрава Парк
Агентство недвижимости РОМАНА МАЙОРОВА;real_estate_agent;https://kaluga.cian.ru/sale/flat/300739546/;Калуга;sale;flat;12;17;2;65.9;10000000;мкр. Правобережье; Комфортная;2;;
Комета 21;developer;https://kaluga.cian.ru/sale/flat/297233406/;Калуга;sale;flat;15;17;1;43.18;4533900;мкр. Правобережье; Серафима Туликова;4;;Орбита
